ajoneuvoluokka;ensirekisterointipvm;ajoneuvoryhma;ajoneuvonkaytto;variantti;versio;kayttoonottopvm;vari;ovienLukumaara;korityyppi;ohjaamotyyppi;istumapaikkojenLkm;omamassa;teknSuurSallKokmassa;tieliikSuurSallKokmassa;ajonKokPituus;ajonLeveys;ajonKorkeus;kayttovoima;iskutilavuus;suurinNettoteho;sylintereidenLkm;ahdin;sahkohybridi;merkkiSelvakielinen;mallimerkinta;vaihteisto;vaihteidenLkm;kaupallinenNimi;voimanvalJaTehostamistapa;tyyppihyvaksyntanro;yksittaisKayttovoima;kunta;Co2;matkamittarilukema;alue;valmistenumero2;jarnro
M1G;2010-01-21;;01;W431;54654;20100121;9;;AF;;5;2065;2640;2640;4590;1870;1730;02;2490;125;4;true;;Kia;5D SORENTO SUV 2.5CRDI-JC5245-4X4/271;;;SORENTO;05;e9*98/14*0045*13;02;074;209;83165;695;KNEJC52457;12996
M1;2010-01-07;;01;ZNR20(R);ZNR11L-GRMEKW(1F);20100107;Y;;AF;;7;1455;2035;2035;4370;1770;1620;01;1790;95;4;;;Toyota;5D COROLLA VERSO MPV 1.8-ZNR11L-GRMEKW/275;;;COROLLA VERSO;05;e11*01/116*0222*05;01;734;184;154768;242;NMTER16R80;33079
M1;2010-01-29;;01;C;OY;20100129;Y;;AA;;5;1646;2130;2130;4800;1830;1480;01;3340;171;6;;;Hyundai;4D SONATA SEDAN 3.3 AUTOMATIC-E-41FP/273;;;SONATA;05;e11*01/116*0241*02;01;286;241;141863;457;KMHEU41FP7;35837
M1;2010-01-07;;01;ZNR20(R);ZNR11L-GRMEKW(1F);20100107;Y;;AF;;7;1455;2035;2035;4370;1770;1620;01;1790;95;4;;;Toyota;5D COROLLA VERSO MPV 1.8-ZNR11L-GRMEKW/275;;;COROLLA VERSO;05;e11*01/116*0222*05;01;276;184;76386;801;NMTER16R40;41626
M1;2010-01-20;;01;CSFA3;L;20100120;2;;AA;;5;1585;2040;2040;4850;1840;1500;01;2360;125;4;;;Chrysler;4D SEBRING SEDAN 2.4 AUTOMATIC-CSFA3/277;;;SEBRING;05;e11*01/116*0143*02;01;092;211;78929;014;1C3ACB6K87;47631
M1;2010-01-05;;05;A74V;5MT;20100105;0;;AC;;4;1445;1800;1800;4010;1810;1690;01;1580;78;4;;;Suzuki;3D GRAND VITARA STW 1.6-JTA74V-4X4/244;;;GRAND VITARA;05;e4*01/116*0091*06;01;418;205;103479;375;JSAJTA74V0;57884
M1;2010-03-25;;01;E;E01;20100325;1;;AF;;5;1490;1960;1960;4320;1780;1610;01;1990;104;4;;;Nissan;5D QASHQAI MPV 2.0-FBNJ10-4X4/263;;;QASHQAI;05;e11*01/116*0295*00;01;853;204;68728;209;SJNFBNJ10U;78786
M1;2010-02-22;;01;CSCAA;L;20100222;Y;;AA;;5;1635;2040;2040;4850;1840;1500;02;1960;103;4;true;;Chrysler;4D SEBRING SEDAN 2.0 CRD-CSCAA/277;;;SEBRING;05;e11*01/116*0143*02;02;740;170;150171;572;1C3ACC6A57;82514
M1;2010-01-25;;01;E;KY;20100125;6;;AA;;5;1666;2150;2150;4800;1830;1480;02;1990;103;4;true;;Hyundai;4D SONATA SEDAN 2.0D CRDI-E-41VP/273;;;SONATA;05;e11*01/116*0241*03;02;297;163;137588;702;KMHET41VP6;87945
M1;2010-06-01;;01;DTCAA;L;20100601;6;;AA;;5;1635;2040;2040;4850;1840;1500;02;1960;103;4;true;;Dodge;4D AVENGER SEDAN 2.0 CRD-DTCAA/277;;;AVENGER;05;e11*01/116*0143*02;02;244;170;131942;904;1B3ACC6A08;117037
