ï»¿VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
1,2017-03-10 14:42:23,2017-03-10 15:43:23,1,21.40,2,N,132,238,1,52,0,0.5,0,5.54,0.3,58.34
2,2017-03-10 15:14:24,2017-03-10 15:23:53,2,1.29,1,N,68,100,1,8,0,0.5,1,0,0.3,9.8
2,2017-03-10 15:46:19,2017-03-10 15:57:11,6,1.65,1,N,162,48,1,8.5,0,0.5,1.86,0,0.3,11.16
2,2017-03-10 16:20:31,2017-03-10 16:23:43,1,.96,1,N,263,141,2,5,1,0.5,0,0,0.3,6.8
2,2017-03-10 16:54:20,2017-03-10 16:59:04,2,.83,1,N,50,230,1,5.5,1,0.5,1.82,0,0.3,9.12
2,2017-03-10 17:24:23,2017-03-10 17:30:43,6,1.13,1,N,238,166,1,6.5,1,0.5,2.08,0,0.3,10.38
1,2017-03-10 17:50:51,2017-03-10 17:53:11,1,.20,1,N,43,163,2,3.5,1,0.5,0,0,0.3,5.3
2,2017-03-10 18:15:23,2017-03-10 18:24:56,1,1.47,1,N,163,236,1,8.5,1,0.5,2.06,0,0.3,12.36
2,2017-03-10 18:38:47,2017-03-10 18:59:31,2,1.15,1,N,170,68,2,12,1,0.5,0,0,0.3,13.8
1,2017-03-10 19:01:17,2017-03-10 19:10:58,1,1.50,1,N,114,158,1,8.5,1,0.5,1,0,0.3,11.3
2,2017-03-10 19:24:21,2017-03-10 19:41:52,1,1.36,1,N,162,230,1,11.5,1,0.5,2.66,0,0.3,15.96
2,2017-03-10 19:48:00,2017-03-10 19:55:25,3,1.12,1,N,239,143,1,7,1,0.5,1.76,0,0.3,10.56
2,2017-03-11 21:13:11,2017-03-11 21:15:40,1,.64,1,N,249,90,2,4,0.5,0.5,0,0,0.3,5.3
2,2017-03-10 20:15:23,2017-03-10 20:19:56,5,.65,1,N,48,163,2,5,0.5,0.5,0,0,0.3,6.3
2,2017-03-10 20:43:25,2017-03-10 21:12:27,4,3.21,1,N,161,144,1,18.5,0.5,0.5,3.96,0,0.3,23.76
2,2017-03-10 21:10:47,2017-03-10 21:12:46,1,.44,1,N,161,163,1,3.5,0.5,0.5,0.96,0,0.3,5.76
2,2017-03-10 21:37:29,2017-03-10 21:41:29,1,.88,1,N,236,263,1,5.5,0.5,0.5,1.36,0,0.3,8.16
2,2017-03-10 22:04:17,2017-03-10 22:05:55,1,.55,1,N,239,142,2,3.5,0.5,0.5,0,0,0.3,4.8
1,2017-03-10 22:30:41,2017-03-10 22:39:43,1,1.10,1,N,234,186,2,7.5,0.5,0.5,0,0,0.3,8.8
2,2017-03-10 22:56:58,2017-03-10 23:04:11,1,1.24,1,N,163,142,1,7,0.5,0.5,1.66,0,0.3,9.96
1,2017-03-10 23:23:01,2017-03-10 23:27:11,1,1.20,1,N,158,68,1,6,0.5,0.5,1,0,0.3,8.3
2,2017-03-10 23:50:13,2017-03-11 00:23:36,5,6.66,1,N,7,249,2,25.5,0.5,0.5,0,0,0.3,26.8
1,2017-03-11 00:18:33,2017-03-11 00:24:42,2,1.90,1,N,50,239,1,8,0.5,0.5,1.85,0,0.3,11.15
2,2017-03-11 00:50:50,2017-03-11 01:04:37,1,1.85,1,N,79,68,1,10.5,0.5,0.5,2.36,0,0.3,14.16
1,2017-03-11 01:27:17,2017-03-11 01:52:05,1,6.40,1,N,158,188,1,22.5,0.5,0.5,4.75,0,0.3,28.55
1,2017-03-11 22:03:00,2017-03-11 22:12:58,2,1.30,1,N,249,144,1,8,0.5,0.5,1,0,0.3,10.3
1,2017-03-11 02:10:01,2017-03-11 02:21:04,2,2.50,1,N,164,143,1,10.5,0.5,0.5,2.35,0,0.3,14.15
