ï»¿VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
1,2017-01-01 09:13:16,2017-01-01 09:28:56,1,6.10,1,N,24,235,2,20,0,0.5,0,0,0.3,20.8
2,2017-01-01 10:42:02,2017-01-01 11:00:56,5,10.21,1,N,138,79,2,29,0,0.5,0,0,0.3,29.8
1,2017-01-01 11:42:28,2017-01-01 11:51:05,3,.90,1,N,142,230,2,7.5,0,0.5,0,0,0.3,8.3
1,2017-01-01 12:33:17,2017-01-01 12:35:02,1,.00,1,N,186,186,3,3,0,0.5,0,0,0.3,3.8
2,2017-01-01 13:21:12,2017-01-01 13:31:51,1,1.50,1,N,163,100,2,8.5,0,0.5,0,0,0.3,9.3
2,2017-01-01 14:08:56,2017-01-01 14:29:45,1,3.31,1,N,43,68,2,14.5,0,0.5,0,0,0.3,15.3
2,2017-01-01 14:55:35,2017-01-01 15:25:34,1,10.16,1,N,138,260,2,31,0,0.5,0,5.54,0.3,37.34
1,2017-01-01 15:41:43,2017-01-01 15:57:06,1,3.20,1,N,43,68,2,13.5,0,0.5,0,0,0.3,14.3
2,2017-01-01 17:07:42,2017-01-01 17:28:35,1,5.47,1,N,237,13,2,19.5,0,0.5,0,0,0.3,20.3
2,2017-01-01 16:29:29,2017-01-01 16:34:53,1,1.61,1,N,238,166,2,7,0,0.5,0,0,0.3,7.8
2,2017-01-01 01:27:18,2017-01-01 01:45:16,1,2.86,1,N,43,107,2,13,0.5,0.5,0,0,0.3,14.3
1,2017-01-01 01:53:48,2017-01-01 02:08:01,1,1.00,1,N,186,230,1,9.5,0.5,0.5,2.15,0,0.3,12.95
1,2017-01-01 02:20:54,2017-01-01 02:33:47,3,3.70,1,N,164,263,1,13,0.5,0.5,2.85,0,0.3,17.15
2,2017-01-01 02:48:57,2017-01-01 02:52:39,1,.72,1,N,186,164,1,5,0.5,0.5,1.26,0,0.3,7.56
2,2017-01-01 03:19:38,2017-01-01 03:44:10,6,4.56,1,N,239,74,1,19,0.5,0.5,0,0,0.3,20.3
1,2017-01-01 03:53:52,2017-01-01 04:12:33,2,3.90,1,N,148,50,2,16,0.5,0.5,0,0,0.3,17.3
2,2017-01-01 04:33:01,2017-01-01 04:52:43,1,4.59,1,N,113,37,1,18,0.5,0.5,3.86,0,0.3,23.16
1,2017-01-01 05:47:30,2017-01-01 06:10:31,1,8.30,1,N,36,50,2,26,0.5,0.5,0,5.54,0.3,32.84
1,2017-01-01 00:20:41,2017-01-01 00:25:49,1,.90,1,N,262,236,2,5.5,0.5,0.5,0,0,0.3,6.8
2,2017-01-01 00:46:31,2017-01-01 00:55:48,1,.53,1,N,164,186,1,7,0.5,0.5,1.66,0,0.3,9.96
2,2017-01-01 01:11:04,2017-01-01 01:18:32,5,2.44,1,N,151,74,1,9,0.5,0.5,2.58,0,0.3,12.88
